,time,reward,age,days_since_joining,income,gender_F,gender_M,gender_O,min_spend_req,social,mobile,web,duration,discount,type_bogo,type_discount
168,288,5.0,72,884,39000.0,0,1,0,5,0,1,1,7,5,1,0
170,6,5.0,60,724,94000.0,0,0,1,5,0,1,1,7,5,1,0
173,72,5.0,62,744,73000.0,0,1,0,5,0,1,1,7,5,1,0
177,174,5.0,55,1376,54000.0,1,0,0,5,0,1,1,7,5,1,0
179,336,5.0,55,1376,54000.0,1,0,0,5,0,1,1,7,5,1,0
182,396,5.0,65,852,39000.0,0,1,0,5,0,1,1,7,5,1,0
188,426,5.0,30,848,40000.0,1,0,0,5,0,1,1,7,5,1,0
191,642,5.0,30,848,40000.0,1,0,0,5,0,1,1,7,5,1,0
196,474,5.0,20,1643,32000.0,0,1,0,5,0,1,1,7,5,1,0
198,522,5.0,20,1643,32000.0,0,1,0,5,0,1,1,7,5,1,0
201,186,5.0,24,1750,69000.0,0,1,0,5,0,1,1,7,5,1,0
206,108,5.0,48,1348,105000.0,1,0,0,5,0,1,1,7,5,1,0
213,48,5.0,53,1618,95000.0,0,1,0,5,0,1,1,7,5,1,0
216,180,5.0,57,1262,67000.0,1,0,0,5,0,1,1,7,5,1,0
218,576,5.0,57,1262,67000.0,1,0,0,5,0,1,1,7,5,1,0
223,450,5.0,67,1497,56000.0,0,1,0,5,0,1,1,7,5,1,0
225,534,5.0,59,755,59000.0,1,0,0,5,0,1,1,7,5,1,0
232,258,5.0,53,1487,97000.0,1,0,0,5,0,1,1,7,5,1,0
234,132,5.0,63,1336,66000.0,1,0,0,5,0,1,1,7,5,1,0
237,372,5.0,58,1428,58000.0,1,0,0,5,0,1,1,7,5,1,0
243,666,5.0,42,1523,94000.0,0,1,0,5,0,1,1,7,5,1,0
245,576,5.0,28,1186,73000.0,0,1,0,5,0,1,1,7,5,1,0
249,462,5.0,72,1236,81000.0,1,0,0,5,0,1,1,7,5,1,0
252,582,5.0,72,1236,81000.0,1,0,0,5,0,1,1,7,5,1,0
254,414,5.0,79,761,85000.0,1,0,0,5,0,1,1,7,5,1,0
258,264,5.0,56,2070,76000.0,0,1,0,5,0,1,1,7,5,1,0
260,66,5.0,51,591,92000.0,1,0,0,5,0,1,1,7,5,1,0
264,582,5.0,63,583,70000.0,1,0,0,5,0,1,1,7,5,1,0
267,414,5.0,66,1163,94000.0,1,0,0,5,0,1,1,7,5,1,0
273,30,5.0,63,1478,94000.0,1,0,0,5,0,1,1,7,5,1,0
277,642,5.0,50,753,98000.0,0,1,0,5,0,1,1,7,5,1,0
279,390,5.0,60,1252,74000.0,1,0,0,5,0,1,1,7,5,1,0
282,384,5.0,48,1167,57000.0,0,1,0,5,0,1,1,7,5,1,0
284,360,5.0,59,739,87000.0,0,1,0,5,0,1,1,7,5,1,0
286,624,5.0,47,800,35000.0,0,1,0,5,0,1,1,7,5,1,0
288,66,5.0,78,1738,39000.0,0,1,0,5,0,1,1,7,5,1,0
293,12,5.0,63,1604,89000.0,0,0,1,5,0,1,1,7,5,1,0
296,618,5.0,73,667,76000.0,0,1,0,5,0,1,1,7,5,1,0
303,714,5.0,87,1767,55000.0,0,1,0,5,0,1,1,7,5,1,0
306,564,5.0,86,1741,84000.0,1,0,0,5,0,1,1,7,5,1,0
309,444,5.0,61,841,112000.0,0,1,0,5,0,1,1,7,5,1,0
312,600,5.0,61,841,112000.0,0,1,0,5,0,1,1,7,5,1,0
315,612,5.0,38,1734,31000.0,0,1,0,5,0,1,1,7,5,1,0
318,576,5.0,94,1900,50000.0,0,1,0,5,0,1,1,7,5,1,0
320,654,5.0,62,583,117000.0,1,0,0,5,0,1,1,7,5,1,0
323,348,5.0,26,798,52000.0,1,0,0,5,0,1,1,7,5,1,0
326,432,5.0,73,1354,58000.0,0,1,0,5,0,1,1,7,5,1,0
329,450,5.0,25,2034,53000.0,1,0,0,5,0,1,1,7,5,1,0
331,504,5.0,71,778,118000.0,0,1,0,5,0,1,1,7,5,1,0
339,348,5.0,55,1601,112000.0,0,1,0,5,0,1,1,7,5,1,0
341,648,5.0,55,1601,112000.0,0,1,0,5,0,1,1,7,5,1,0
343,444,5.0,32,985,43000.0,1,0,0,5,0,1,1,7,5,1,0
347,540,5.0,67,941,50000.0,1,0,0,5,0,1,1,7,5,1,0
352,384,5.0,32,1200,58000.0,0,1,0,5,0,1,1,7,5,1,0
354,582,5.0,32,1200,58000.0,0,1,0,5,0,1,1,7,5,1,0
357,342,5.0,51,1448,73000.0,1,0,0,5,0,1,1,7,5,1,0
360,498,5.0,51,1448,73000.0,1,0,0,5,0,1,1,7,5,1,0
365,42,5.0,51,2199,67000.0,1,0,0,5,0,1,1,7,5,1,0
369,240,5.0,56,1215,36000.0,0,1,0,5,0,1,1,7,5,1,0
373,570,5.0,49,651,31000.0,1,0,0,5,0,1,1,7,5,1,0
377,222,5.0,52,923,114000.0,1,0,0,5,0,1,1,7,5,1,0
382,180,5.0,67,945,99000.0,0,0,1,5,0,1,1,7,5,1,0
385,42,5.0,45,1173,58000.0,1,0,0,5,0,1,1,7,5,1,0
387,90,5.0,18,966,67000.0,1,0,0,5,0,1,1,7,5,1,0
394,528,5.0,69,1080,97000.0,1,0,0,5,0,1,1,7,5,1,0
396,420,5.0,81,920,101000.0,1,0,0,5,0,1,1,7,5,1,0
399,30,5.0,39,1409,77000.0,1,0,0,5,0,1,1,7,5,1,0
403,198,5.0,46,882,36000.0,1,0,0,5,0,1,1,7,5,1,0
406,606,5.0,53,1519,83000.0,1,0,0,5,0,1,1,7,5,1,0
411,366,5.0,47,564,53000.0,0,1,0,5,0,1,1,7,5,1,0
413,438,5.0,47,564,53000.0,0,1,0,5,0,1,1,7,5,1,0
420,348,5.0,65,791,78000.0,1,0,0,5,0,1,1,7,5,1,0
423,426,5.0,31,748,43000.0,0,1,0,5,0,1,1,7,5,1,0
426,486,5.0,48,1667,65000.0,0,1,0,5,0,1,1,7,5,1,0
428,426,5.0,53,1599,39000.0,0,1,0,5,0,1,1,7,5,1,0
430,474,5.0,34,724,50000.0,0,1,0,5,0,1,1,7,5,1,0
432,558,5.0,77,690,64000.0,0,1,0,5,0,1,1,7,5,1,0
439,630,5.0,23,2032,65000.0,0,1,0,5,0,1,1,7,5,1,0
441,468,5.0,73,610,46000.0,0,1,0,5,0,1,1,7,5,1,0
443,348,5.0,74,1234,51000.0,0,1,0,5,0,1,1,7,5,1,0
445,432,5.0,61,753,52000.0,0,1,0,5,0,1,1,7,5,1,0
449,66,5.0,76,1158,62000.0,1,0,0,5,0,1,1,7,5,1,0
451,36,5.0,49,1004,75000.0,0,1,0,5,0,1,1,7,5,1,0
454,408,5.0,49,1004,75000.0,0,1,0,5,0,1,1,7,5,1,0
457,666,5.0,49,1004,75000.0,0,1,0,5,0,1,1,7,5,1,0
459,210,5.0,29,1571,53000.0,1,0,0,5,0,1,1,7,5,1,0
461,540,5.0,82,1580,78000.0,0,1,0,5,0,1,1,7,5,1,0
464,36,5.0,57,1237,70000.0,1,0,0,5,0,1,1,7,5,1,0
466,0,5.0,49,776,110000.0,1,0,0,5,0,1,1,7,5,1,0
468,144,5.0,69,1543,89000.0,1,0,0,5,0,1,1,7,5,1,0
470,636,5.0,69,1543,89000.0,1,0,0,5,0,1,1,7,5,1,0
472,450,5.0,60,2010,56000.0,0,1,0,5,0,1,1,7,5,1,0
475,78,5.0,40,803,51000.0,1,0,0,5,0,1,1,7,5,1,0
477,450,5.0,52,1594,31000.0,1,0,0,5,0,1,1,7,5,1,0
480,180,5.0,22,912,55000.0,1,0,0,5,0,1,1,7,5,1,0
482,0,5.0,62,1052,35000.0,0,1,0,5,0,1,1,7,5,1,0
485,372,5.0,62,1052,35000.0,0,1,0,5,0,1,1,7,5,1,0
488,234,5.0,75,1534,103000.0,0,1,0,5,0,1,1,7,5,1,0
490,84,5.0,46,1815,73000.0,1,0,0,5,0,1,1,7,5,1,0
493,42,5.0,67,1642,58000.0,1,0,0,5,0,1,1,7,5,1,0
497,468,5.0,50,867,65000.0,1,0,0,5,0,1,1,7,5,1,0
501,162,5.0,40,2088,33000.0,1,0,0,5,0,1,1,7,5,1,0
503,570,5.0,56,1326,55000.0,1,0,0,5,0,1,1,7,5,1,0
508,72,5.0,79,2256,94000.0,1,0,0,5,0,1,1,7,5,1,0
511,480,5.0,79,2256,94000.0,1,0,0,5,0,1,1,7,5,1,0
514,582,5.0,79,2256,94000.0,1,0,0,5,0,1,1,7,5,1,0
516,678,5.0,63,1292,74000.0,1,0,0,5,0,1,1,7,5,1,0
519,546,5.0,53,814,33000.0,0,1,0,5,0,1,1,7,5,1,0
522,204,5.0,61,1626,100000.0,0,1,0,5,0,1,1,7,5,1,0
524,492,5.0,59,897,108000.0,0,1,0,5,0,1,1,7,5,1,0
527,540,5.0,56,1362,83000.0,1,0,0,5,0,1,1,7,5,1,0
529,456,5.0,38,690,69000.0,1,0,0,5,0,1,1,7,5,1,0
534,168,5.0,64,1895,70000.0,1,0,0,5,0,1,1,7,5,1,0
538,588,5.0,64,1895,70000.0,1,0,0,5,0,1,1,7,5,1,0
543,414,5.0,25,1626,56000.0,0,1,0,5,0,1,1,7,5,1,0
549,366,5.0,73,1552,67000.0,1,0,0,5,0,1,1,7,5,1,0
552,564,5.0,50,818,110000.0,1,0,0,5,0,1,1,7,5,1,0
554,606,5.0,50,818,110000.0,1,0,0,5,0,1,1,7,5,1,0
556,54,5.0,68,1014,115000.0,1,0,0,5,0,1,1,7,5,1,0
559,318,5.0,68,1014,115000.0,1,0,0,5,0,1,1,7,5,1,0
561,504,5.0,68,633,117000.0,1,0,0,5,0,1,1,7,5,1,0
566,630,5.0,30,1539,69000.0,1,0,0,5,0,1,1,7,5,1,0
570,426,5.0,74,910,97000.0,1,0,0,5,0,1,1,7,5,1,0
574,102,5.0,54,1390,39000.0,0,1,0,5,0,1,1,7,5,1,0
581,516,5.0,56,1343,69000.0,0,1,0,5,0,1,1,7,5,1,0
584,456,5.0,47,1442,62000.0,0,1,0,5,0,1,1,7,5,1,0
587,672,5.0,47,1442,62000.0,0,1,0,5,0,1,1,7,5,1,0
591,600,5.0,57,1183,38000.0,0,1,0,5,0,1,1,7,5,1,0
594,360,5.0,51,1145,75000.0,1,0,0,5,0,1,1,7,5,1,0
596,300,5.0,42,976,63000.0,0,1,0,5,0,1,1,7,5,1,0
601,636,5.0,47,1211,82000.0,0,1,0,5,0,1,1,7,5,1,0
604,510,5.0,25,2081,46000.0,0,1,0,5,0,1,1,7,5,1,0
605,510,5.0,25,2081,46000.0,0,1,0,5,0,1,1,7,5,1,0
609,18,5.0,37,1596,100000.0,1,0,0,5,0,1,1,7,5,1,0
611,168,5.0,65,2065,79000.0,1,0,0,5,0,1,1,7,5,1,0
615,414,5.0,74,1614,61000.0,0,0,1,5,0,1,1,7,5,1,0
617,612,5.0,74,1614,61000.0,0,0,1,5,0,1,1,7,5,1,0
621,72,5.0,55,1012,76000.0,0,0,1,5,0,1,1,7,5,1,0
623,168,5.0,55,1012,76000.0,0,0,1,5,0,1,1,7,5,1,0
626,630,5.0,57,1357,89000.0,1,0,0,5,0,1,1,7,5,1,0
628,714,5.0,88,1052,71000.0,1,0,0,5,0,1,1,7,5,1,0
630,96,5.0,49,653,115000.0,1,0,0,5,0,1,1,7,5,1,0
632,288,5.0,63,886,64000.0,0,1,0,5,0,1,1,7,5,1,0
636,516,5.0,25,1647,73000.0,0,1,0,5,0,1,1,7,5,1,0
641,672,5.0,42,1469,56000.0,1,0,0,5,0,1,1,7,5,1,0
645,48,5.0,70,1251,101000.0,1,0,0,5,0,1,1,7,5,1,0
648,678,5.0,70,1251,101000.0,1,0,0,5,0,1,1,7,5,1,0
650,636,5.0,64,649,61000.0,0,1,0,5,0,1,1,7,5,1,0
652,234,5.0,62,1196,67000.0,1,0,0,5,0,1,1,7,5,1,0
657,378,5.0,52,1563,50000.0,0,1,0,5,0,1,1,7,5,1,0
660,522,5.0,52,1563,50000.0,0,1,0,5,0,1,1,7,5,1,0
662,504,5.0,52,1232,104000.0,0,1,0,5,0,1,1,7,5,1,0
665,618,5.0,73,594,75000.0,1,0,0,5,0,1,1,7,5,1,0
670,180,5.0,50,1649,62000.0,0,1,0,5,0,1,1,7,5,1,0
674,12,5.0,38,929,72000.0,1,0,0,5,0,1,1,7,5,1,0
679,618,5.0,58,880,77000.0,0,1,0,5,0,1,1,7,5,1,0
683,594,5.0,63,806,31000.0,1,0,0,5,0,1,1,7,5,1,0
686,642,5.0,64,1282,102000.0,1,0,0,5,0,1,1,7,5,1,0
689,12,5.0,20,1143,62000.0,1,0,0,5,0,1,1,7,5,1,0
694,630,5.0,66,817,74000.0,0,1,0,5,0,1,1,7,5,1,0
699,534,5.0,41,987,41000.0,0,1,0,5,0,1,1,7,5,1,0
700,534,5.0,41,987,41000.0,0,1,0,5,0,1,1,7,5,1,0
703,312,5.0,33,873,41000.0,1,0,0,5,0,1,1,7,5,1,0
706,504,5.0,38,855,50000.0,1,0,0,5,0,1,1,7,5,1,0
709,480,5.0,60,2383,93000.0,0,1,0,5,0,1,1,7,5,1,0
715,174,5.0,55,1474,47000.0,1,0,0,5,0,1,1,7,5,1,0
721,450,5.0,59,1580,86000.0,0,1,0,5,0,1,1,7,5,1,0
723,588,5.0,59,1580,86000.0,0,1,0,5,0,1,1,7,5,1,0
725,6,5.0,60,624,92000.0,0,1,0,5,0,1,1,7,5,1,0
728,168,5.0,58,1252,77000.0,1,0,0,5,0,1,1,7,5,1,0
733,6,5.0,53,906,31000.0,1,0,0,5,0,1,1,7,5,1,0
736,408,5.0,62,824,74000.0,1,0,0,5,0,1,1,7,5,1,0
739,630,5.0,62,824,74000.0,1,0,0,5,0,1,1,7,5,1,0
743,624,5.0,70,1197,67000.0,1,0,0,5,0,1,1,7,5,1,0
746,510,5.0,53,864,116000.0,0,1,0,5,0,1,1,7,5,1,0
749,492,5.0,19,1852,34000.0,0,1,0,5,0,1,1,7,5,1,0
757,636,5.0,53,1547,92000.0,0,1,0,5,0,1,1,7,5,1,0
762,384,5.0,52,860,46000.0,1,0,0,5,0,1,1,7,5,1,0
768,600,5.0,32,1294,45000.0,0,1,0,5,0,1,1,7,5,1,0
771,198,5.0,75,1546,72000.0,1,0,0,5,0,1,1,7,5,1,0
774,438,5.0,44,1559,55000.0,0,1,0,5,0,1,1,7,5,1,0
777,24,5.0,66,1365,54000.0,0,1,0,5,0,1,1,7,5,1,0
779,168,5.0,62,775,72000.0,0,1,0,5,0,1,1,7,5,1,0
781,630,5.0,76,1346,64000.0,1,0,0,5,0,1,1,7,5,1,0
784,438,5.0,65,1419,31000.0,0,1,0,5,0,1,1,7,5,1,0
787,498,5.0,45,1449,58000.0,0,1,0,5,0,1,1,7,5,1,0
791,348,5.0,58,834,81000.0,1,0,0,5,0,1,1,7,5,1,0
794,84,5.0,69,1890,67000.0,1,0,0,5,0,1,1,7,5,1,0
797,612,5.0,35,1081,58000.0,1,0,0,5,0,1,1,7,5,1,0
802,426,5.0,84,1070,53000.0,0,1,0,5,0,1,1,7,5,1,0
804,72,5.0,79,1114,102000.0,1,0,0,5,0,1,1,7,5,1,0
808,348,5.0,67,793,61000.0,1,0,0,5,0,1,1,7,5,1,0
811,564,5.0,67,793,61000.0,1,0,0,5,0,1,1,7,5,1,0
816,114,5.0,54,963,72000.0,1,0,0,5,0,1,1,7,5,1,0
818,174,5.0,54,963,72000.0,1,0,0,5,0,1,1,7,5,1,0
826,450,5.0,49,1018,62000.0,0,1,0,5,0,1,1,7,5,1,0
830,672,5.0,59,842,32000.0,0,1,0,5,0,1,1,7,5,1,0
834,312,5.0,53,1634,40000.0,1,0,0,5,0,1,1,7,5,1,0
836,252,5.0,64,1422,53000.0,0,1,0,5,0,1,1,7,5,1,0
839,546,5.0,25,1918,35000.0,0,1,0,5,0,1,1,7,5,1,0
843,168,5.0,48,1014,57000.0,0,1,0,5,0,1,1,7,5,1,0
846,576,5.0,61,693,98000.0,1,0,0,5,0,1,1,7,5,1,0
849,450,5.0,70,785,71000.0,1,0,0,5,0,1,1,7,5,1,0
852,420,5.0,63,1481,100000.0,1,0,0,5,0,1,1,7,5,1,0
855,12,5.0,61,795,71000.0,0,1,0,5,0,1,1,7,5,1,0
857,588,5.0,55,882,74000.0,0,1,0,5,0,1,1,7,5,1,0
863,600,5.0,44,1016,61000.0,1,0,0,5,0,1,1,7,5,1,0
866,630,5.0,71,802,108000.0,1,0,0,5,0,1,1,7,5,1,0
868,492,5.0,91,2124,58000.0,0,1,0,5,0,1,1,7,5,1,0
870,504,5.0,91,2124,58000.0,0,1,0,5,0,1,1,7,5,1,0
873,228,5.0,48,1642,93000.0,1,0,0,5,0,1,1,7,5,1,0
876,528,5.0,40,1247,79000.0,0,1,0,5,0,1,1,7,5,1,0
878,594,5.0,71,1583,73000.0,0,1,0,5,0,1,1,7,5,1,0
880,588,5.0,78,1483,77000.0,0,1,0,5,0,1,1,7,5,1,0
886,462,5.0,48,886,74000.0,1,0,0,5,0,1,1,7,5,1,0
891,594,5.0,48,886,74000.0,1,0,0,5,0,1,1,7,5,1,0
892,594,5.0,48,886,74000.0,1,0,0,5,0,1,1,7,5,1,0
895,504,5.0,75,821,34000.0,1,0,0,5,0,1,1,7,5,1,0
897,612,5.0,75,821,34000.0,1,0,0,5,0,1,1,7,5,1,0
899,192,5.0,41,1468,60000.0,0,1,0,5,0,1,1,7,5,1,0
903,414,5.0,51,592,100000.0,1,0,0,5,0,1,1,7,5,1,0
906,78,5.0,80,1598,70000.0,0,1,0,5,0,1,1,7,5,1,0
909,348,5.0,80,1598,70000.0,0,1,0,5,0,1,1,7,5,1,0
914,324,5.0,55,1213,52000.0,1,0,0,5,0,1,1,7,5,1,0
917,216,5.0,31,1620,40000.0,0,1,0,5,0,1,1,7,5,1,0
925,510,5.0,64,779,36000.0,0,1,0,5,0,1,1,7,5,1,0
927,408,5.0,29,872,70000.0,0,1,0,5,0,1,1,7,5,1,0
930,498,5.0,36,911,48000.0,0,1,0,5,0,1,1,7,5,1,0
934,72,5.0,63,1001,86000.0,1,0,0,5,0,1,1,7,5,1,0
936,414,5.0,63,1001,86000.0,1,0,0,5,0,1,1,7,5,1,0
939,378,5.0,44,881,55000.0,0,1,0,5,0,1,1,7,5,1,0
941,600,5.0,44,881,55000.0,0,1,0,5,0,1,1,7,5,1,0
946,144,5.0,19,1631,46000.0,0,1,0,5,0,1,1,7,5,1,0
951,510,5.0,45,1299,61000.0,1,0,0,5,0,1,1,7,5,1,0
954,582,5.0,45,1299,61000.0,1,0,0,5,0,1,1,7,5,1,0
956,576,5.0,85,1028,75000.0,1,0,0,5,0,1,1,7,5,1,0
958,360,5.0,57,787,69000.0,0,1,0,5,0,1,1,7,5,1,0
961,54,5.0,57,1407,83000.0,0,1,0,5,0,1,1,7,5,1,0
963,198,5.0,44,1175,47000.0,0,1,0,5,0,1,1,7,5,1,0
965,558,5.0,76,704,36000.0,0,1,0,5,0,1,1,7,5,1,0
968,528,5.0,71,1074,72000.0,1,0,0,5,0,1,1,7,5,1,0
971,636,5.0,71,1074,72000.0,1,0,0,5,0,1,1,7,5,1,0
975,186,5.0,53,882,84000.0,1,0,0,5,0,1,1,7,5,1,0
981,306,5.0,23,1195,42000.0,0,1,0,5,0,1,1,7,5,1,0
986,78,5.0,49,903,104000.0,1,0,0,5,0,1,1,7,5,1,0
989,480,5.0,77,920,75000.0,1,0,0,5,0,1,1,7,5,1,0
995,462,5.0,55,776,80000.0,0,1,0,5,0,1,1,7,5,1,0
998,438,5.0,35,887,42000.0,0,1,0,5,0,1,1,7,5,1,0
1002,180,5.0,82,797,115000.0,0,1,0,5,0,1,1,7,5,1,0
1005,624,5.0,46,1512,60000.0,1,0,0,5,0,1,1,7,5,1,0
1010,6,5.0,35,842,74000.0,1,0,0,5,0,1,1,7,5,1,0
1013,24,5.0,31,1925,69000.0,0,1,0,5,0,1,1,7,5,1,0
1015,540,5.0,31,1925,69000.0,0,1,0,5,0,1,1,7,5,1,0
1018,246,5.0,43,1236,75000.0,1,0,0,5,0,1,1,7,5,1,0
1020,450,5.0,49,1458,44000.0,0,1,0,5,0,1,1,7,5,1,0
1022,192,5.0,89,1504,38000.0,1,0,0,5,0,1,1,7,5,1,0
1025,480,5.0,51,796,34000.0,0,1,0,5,0,1,1,7,5,1,0
1030,198,5.0,101,859,43000.0,1,0,0,5,0,1,1,7,5,1,0
1033,570,5.0,72,1592,79000.0,0,1,0,5,0,1,1,7,5,1,0
1036,528,5.0,55,907,63000.0,0,1,0,5,0,1,1,7,5,1,0
1038,426,5.0,30,1085,35000.0,0,1,0,5,0,1,1,7,5,1,0
1042,510,5.0,41,794,65000.0,0,1,0,5,0,1,1,7,5,1,0
1045,270,5.0,54,795,112000.0,1,0,0,5,0,1,1,7,5,1,0
1050,588,5.0,54,795,112000.0,1,0,0,5,0,1,1,7,5,1,0
1053,66,5.0,68,1603,85000.0,0,1,0,5,0,1,1,7,5,1,0
1058,408,5.0,37,1471,51000.0,1,0,0,5,0,1,1,7,5,1,0
1060,432,5.0,61,1376,73000.0,1,0,0,5,0,1,1,7,5,1,0
1062,468,5.0,63,960,99000.0,1,0,0,5,0,1,1,7,5,1,0
1064,354,5.0,78,835,72000.0,1,0,0,5,0,1,1,7,5,1,0
1067,414,5.0,54,1082,80000.0,0,1,0,5,0,1,1,7,5,1,0
1078,564,5.0,59,1687,69000.0,0,1,0,5,0,1,1,7,5,1,0
1080,168,5.0,57,910,97000.0,1,0,0,5,0,1,1,7,5,1,0
1084,612,5.0,69,1192,72000.0,1,0,0,5,0,1,1,7,5,1,0
1087,336,5.0,76,952,76000.0,0,1,0,5,0,1,1,7,5,1,0
1090,360,5.0,72,920,75000.0,1,0,0,5,0,1,1,7,5,1,0
1092,426,5.0,50,860,42000.0,0,1,0,5,0,1,1,7,5,1,0
1095,24,5.0,22,1340,65000.0,1,0,0,5,0,1,1,7,5,1,0
1098,570,5.0,22,1340,65000.0,1,0,0,5,0,1,1,7,5,1,0
1100,168,5.0,54,834,39000.0,0,1,0,5,0,1,1,7,5,1,0
1104,414,5.0,57,1703,61000.0,0,1,0,5,0,1,1,7,5,1,0
1107,558,5.0,57,1703,61000.0,0,1,0,5,0,1,1,7,5,1,0
1115,438,5.0,63,1203,94000.0,1,0,0,5,0,1,1,7,5,1,0
1123,30,5.0,36,1173,61000.0,0,1,0,5,0,1,1,7,5,1,0
1127,474,5.0,53,1648,75000.0,1,0,0,5,0,1,1,7,5,1,0
1129,360,5.0,71,794,55000.0,0,1,0,5,0,1,1,7,5,1,0
1133,420,5.0,71,794,55000.0,0,1,0,5,0,1,1,7,5,1,0
1136,480,5.0,70,788,50000.0,0,1,0,5,0,1,1,7,5,1,0
1139,594,5.0,70,788,50000.0,0,1,0,5,0,1,1,7,5,1,0
1142,174,5.0,67,785,98000.0,1,0,0,5,0,1,1,7,5,1,0
1147,336,5.0,47,756,44000.0,0,1,0,5,0,1,1,7,5,1,0
1149,528,5.0,65,2291,52000.0,0,1,0,5,0,1,1,7,5,1,0
1153,414,5.0,62,1247,40000.0,1,0,0,5,0,1,1,7,5,1,0
1158,240,5.0,45,2072,94000.0,0,1,0,5,0,1,1,7,5,1,0
1160,504,5.0,45,2072,94000.0,0,1,0,5,0,1,1,7,5,1,0
1163,606,5.0,53,1163,95000.0,0,1,0,5,0,1,1,7,5,1,0
1165,240,5.0,61,1084,109000.0,0,1,0,5,0,1,1,7,5,1,0
1168,150,5.0,71,1079,90000.0,0,1,0,5,0,1,1,7,5,1,0
1170,558,5.0,79,1395,113000.0,0,1,0,5,0,1,1,7,5,1,0
